450.8	133	400.7319	116.2384
162	388	32.8925	224.2987
412	321	286.8234	269.2531
408	272	303.7874	223.3996
430	402	269.0585	349.9009
486	334	348.2232	312.1708
484	238	386.6936	224.7798
522	134	464.6014	147.1053
240	256	158.8314	138.2438
422	184	353.3529	150.0334
455	298	335.3247	266.6401
339	305	227.6125	224.0708
485	277	371.2394	260.3517
274.9994	263.3117	187.4313	159.7231
299.044	368.5218	163.3781	266.2355
412.9392	304.0611	294.1242	255.6066
458.0273	352.4877	314.8799	317.0086
270.3235	295.3773	169.0243	187.7383
