88.2	64.68	53.4179	113.8544
116.2	89.6	74.1209	145.335
449.4	207.2	365.6369	346.1087
137.2	40.6	106.8107	103.221
457.8	169.4	383.4295	311.692
354.2	32.2	318.5267	151.5806
200	147	140.3948	222.8202
111	26	85.2233	82.2143
481	168	406.1822	316.3826
107	65	71.4769	119.0585
481	78	429.3017	229.1045
469	56	423.3607	204.6185
446	24	409.3541	167.5398
446	246	352.4258	382.7747
260	26	229.1041	121.0142
419	34	380.6871	170.2173
201	176	134.0004	251.1928
309	48	270.8182	155.1517
302	56	262.0136	161.0976
454	161	381.9149	302.5633
371	109	315.0991	230.5154
464	222	375.9325	364.2394
315	38	279.1696	147.0013
289.8	36.4	255.2351	138.8817
76	151	19.8221	194.43
406	24	370.6885	157.1132
129	62	93.4671	121.872
414	221	327.9555	350.2444
402.4286	118.688	342.1543	247.6859
226.1741	115.1146	174.3806	198.1149
