487.6667	283.0000	458.6891	261.3853
540.0000	126.0000	535.9917	144.3441
329.3333	113.6667	363.7501	83.1578
397.3333	80.33330	430.0092	70.437
438.3333	64.33340	464.7308	66.3735
236.3333	151.3333	271.1383	94.8571
255.3333	139.6667	291.5920	89.455
472.0000	269.0000	447.7722	248.9986
371.6667	362.0000	335.8561	304.7048
344.0000	509.3333	278.6290	422.7744
396.3333	312.3333	370.4167	266.5462
363.6667	568.3333	281.5835	472.4497
149.3333	292.0000	167.9524	195.9631
144.0000	318.6667	157.0419	216.1333
116.0000	343.3333	128.1630	229.089
130.3333	395.6667	123.5706	273.0522
496.6667	224.0000	474.9291	216.6259
450.3333	145.0000	456.4660	141.1721
338.0000	87.66670	375.8135	60.6474
175.0000	475.3333	145.1052	350.8393
