268.1652	197.3547	334.4265	245.9464
299.2657	207.8064	366.6824	247.9876
303.4129	213.1125	372.3645	252.8011
92.26740	275.1538	182.4489	363.1557
111.9084	345.6630	222.4015	427.7316
268.8425	309.5165	364.1167	351.6549
195.1978	368.0476	306.6659	428.0677
181.0843	354.5421	290.1343	420.2034
173.4982	248.9854	251.9414	318.7464
198.2161	170.9890	259.4463	240.4731
376.0842	260.9231	457.4941	281.43
249.4945	198.8828	316.8965	251.2187
294.9798	251.5903	372.1648	289.5714
336.7511	261.7808	418.0678	288.5714
66.15820	320.2127	170.1410	417.4011
78.87910	262.3736	165.0935	354.887
115.6923	211.1539	187.0258	295.9127
156.8755	202.0183	229.1034	277.5811
126.2967	191.2381	192.8075	274.6589
49.86810	385.4542	170.7612	483.163
147.0549	339.7033	253.2473	416.0216
228.3266	290.1201	319.0092	344.207
224.9681	270.0140	310.4231	327.7417
