348.6740	165.3242	337.0860	194.0412
308.1300	147.6007	299.8560	171.6067
308.0714	54.37730	313.6981	79.5246
274.8992	95.11720	273.5240	115.9745
370.2399	164.2655	358.8577	196.0794
396.9817	149.2674	387.7339	185.5901
292.6026	128.8974	286.3180	152.1044
339.6538	42.73260	348.0505	69.9684
303.9542	35.59520	315.6049	59.76
282.4469	63.67030	287.8871	82.7608
174.9505	210.1227	162.5182	212.399
208.1227	197.7710	190.2629	204.1114
189.4194	210.2399	174.1699	210.4289
187.0275	193.9286	174.5039	196.7171
259.3516	273.0165	232.4498	280.8792
308.9927	276.6044	283.6205	295.1503
